theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif
super_heros;Batman;Qui a réalisé « The Batman » (2022) ?;Matt Reeves;Zack Snyder;Christopher Nolan;Todd Phillips;Matt Reeves y met en scène l'Énigme (Riddler) en tueur en série.;4;3;
super_heros;Batman;Qui est le principal antagoniste de « The Dark Knight Rises » (2012) ?;Bane;Le Joker;L'Épouvantail;Ra's al Ghul;Bane brise le dos de Batman et prend le contrôle de Gotham.;3;3;
super_heros;Batman;Quel acteur incarne Bane dans « The Dark Knight Rises » (2012) ?;Tom Hardy;Tom Hiddleston;Hugo Weaving;Liam Neeson;Liam Neeson jouait Ra's al Ghul dans le premier volet de la trilogie.;4;3;
super_heros;Superman;Quelle est l'identité secrète de Superman ?;Clark Kent;Bruce Wayne;Barry Allen;Peter Parker;Clark Kent est journaliste au Daily Planet à Metropolis.;1;1;
super_heros;Superman;De quelle planète Superman est-il originaire ?;Krypton;Mars;Tamaran;Oa;Krypton a explosé après que ses parents ont envoyé le bébé Kal-El sur Terre.;2;2;
super_heros;Superman;Quelle substance affaiblit Superman et lui fait perdre ses pouvoirs ?;La kryptonite;Le feu;L'eau salée;L'argent;La kryptonite est un fragment radioactif de sa planète natale détruite.;1;1;
super_heros;Superman;Quel acteur incarne Superman dans les films de Richard Donner à partir de 1978 ?;Christopher Reeve;Brandon Routh;Henry Cavill;George Reeves;George Reeves (nom proche) jouait Superman à la télévision dans les années 1950.;4;3;
super_heros;Superman;Pour quel journal Clark Kent travaille-t-il ?;Le Daily Planet;Le Daily Bugle;Le Gotham Gazette;Le Metropolis Times;Le Daily Bugle est le journal de Spider-Man, chez Marvel.;3;3;
super_heros;Superman;Quelle journaliste du Daily Planet est le principal intérêt amoureux de Superman ?;Loïs Lane;Lana Lang;Diana Prince;Selina Kyle;Loïs Lane ignore longtemps que son collègue Clark Kent est Superman.;2;2;
super_heros;Superman;Quel acteur incarne Superman dans « Man of Steel » (2013) ?;Henry Cavill;Brandon Routh;Tom Welling;Tyler Hoechlin;Tom Welling et Tyler Hoechlin ont incarné le personnage en séries télévisées.;3;2;
super_heros;Superman;Qui a réalisé « Man of Steel » (2013) et « Batman v Superman » (2016) ?;Zack Snyder;Christopher Nolan;Patty Jenkins;James Wan;Zack Snyder a défini l'esthétique sombre du DCEU à ses débuts.;4;3;
super_heros;Superman;Quel général kryptonien est le principal antagoniste de « Man of Steel » (2013) ?;Le général Zod;Lex Luthor;Brainiac;Doomsday;Le général Zod, interprété par Michael Shannon, veut recréer Krypton sur Terre.;3;3;
super_heros;Superman;Quel ennemi humain, homme d'affaires chauve, est le rival juré de Superman ?;Lex Luthor;Le Joker;Le Pingouin;Sinestro;Lex Luthor est un génie milliardaire jaloux de la popularité de Superman.;2;2;
super_heros;Wonder Woman;Quelle actrice incarne Wonder Woman dans l'univers DC au cinéma (DCEU) ?;Gal Gadot;Scarlett Johansson;Margot Robbie;Charlize Theron;Gal Gadot apparaît d'abord dans « Batman v Superman » (2016).;2;2;
super_heros;Wonder Woman;Qui a réalisé « Wonder Woman » (2017) ?;Patty Jenkins;Ava DuVernay;Kathryn Bigelow;Greta Gerwig;Patty Jenkins signe l'un des plus gros succès critiques du DCEU.;4;3;
super_heros;Wonder Woman;De quelle île peuplée d'Amazones Wonder Woman est-elle originaire ?;Themyscira;Atlantis;Metropolis;Gotham City;Themyscira est une île cachée où Diana grandit à l'écart des hommes.;4;4;
super_heros;Aquaman;Quel acteur incarne Aquaman dans l'univers DC au cinéma ?;Jason Momoa;Chris Hemsworth;Dwayne Johnson;Alexander Skarsgård;Jason Momoa joue Arthur Curry, roi des mers, depuis 2016.;2;2;
super_heros;Aquaman;Qui a réalisé « Aquaman » (2018) ?;James Wan;Zack Snyder;David Ayer;Patty Jenkins;James Wan, connu pour l'horreur, a signé le plus gros succès du DCEU.;4;4;
super_heros;Flash;Quel acteur incarne Flash dans les films de l'univers DC au cinéma (DCEU) ?;Ezra Miller;Grant Gustin;John Wesley Shipp;Robbie Amell;Grant Gustin incarne un autre Flash dans la série télévisée du même nom.;3;3;
super_heros;Suicide Squad;Quel personnage Margot Robbie incarne-t-elle dans « Suicide Squad » (2016) ?;Harley Quinn;Catwoman;Poison Ivy;Wonder Woman;Harley Quinn, ancienne psychiatre, est l'amoureuse déjantée du Joker.;2;2;
super_heros;Suicide Squad;Quel acteur incarne le Joker dans « Suicide Squad » (2016) ?;Jared Leto;Heath Ledger;Joaquin Phoenix;Jack Nicholson;Jared Leto propose une version tatouée et gangster du personnage.;4;3;
super_heros;Joker;Quel acteur tient le rôle-titre du film « Joker » (2019) ?;Joaquin Phoenix;Jared Leto;Heath Ledger;Robert De Niro;Joaquin Phoenix a reçu l'Oscar du meilleur acteur pour ce rôle.;2;2;
super_heros;Joker;Qui a réalisé le film « Joker » (2019) ?;Todd Phillips;Zack Snyder;Matt Reeves;Martin Scorsese;Todd Phillips, venu de la comédie, livre un drame inspiré du cinéma des années 1970.;4;3;
super_heros;Shazam;Quel mot magique un jeune garçon prononce-t-il pour se transformer en Shazam ?;« Shazam ! »;« Alakazam ! »;« Abracadabra ! »;« Excelsior ! »;Le mot invoque la foudre qui transforme Billy Batson en héros adulte.;3;3;
super_heros;Séries animées;Quelle série animée des années 1990 a introduit le personnage de Harley Quinn ?;Batman : la série animée;Justice League;Superman, l'Ange de Metropolis;Les Super Nanas;Harley Quinn est créée pour « Batman : la série animée » en 1992 avant de rejoindre les comics.;4;4;
super_heros;Green Lantern;Quel acteur incarne Green Lantern dans le film de 2011 ?;Ryan Reynolds;Chris Pine;Nathan Fillion;Armie Hammer;Ryan Reynolds joue Hal Jordan avant d'incarner Deadpool chez Marvel.;4;4;
super_heros;Green Lantern;Quel objet donne ses pouvoirs à Green Lantern ?;Un anneau de pouvoir;Une amulette;Un bâton;Un gantelet;L'anneau matérialise tout ce que son porteur imagine, alimenté par la volonté.;3;3;
